Detroit Mercy,-4.57,42.41417,-83.13583,,,,,,,,,,,,,,,,,,
Drake,2.21,41.60444,-93.65194,,,,,,,,,,,,,,,,,,
Drexel,-3.08,39.956389,-75.190833,,,,,,,,,,,,,,,,,,
Duke,43.51,35.9976,-78.9422,,,,,,,,,,,,,,,,,,
Duquesne,0.08,40.4374,-79.9879,,,,,,,,,,,,,,,,,,
East Carolina,-3.02,35.597391,-77.367167,,,,,,,,,,,,,,,,,,
East Tennessee St.,-1.58,36.32444,-82.375,,,,,,,,,,,,,,,,,,
East Texas A&M,-15.57,33.24534,-95.90762,,,,,,,,,,,,,,,,,,
Eastern Illinois,-12.88,39.480403,-88.178844,,,,,,,,,,,,,,,,,,
Eastern Kentucky,-7.55,37.73722,-84.30139,,,,,,,,,,,,,,,,,,
Eastern Michigan,-6.37,42.25444,-83.64722,,,,,,,,,,,,,,,,,,
Eastern Washington,-4.73,47.4914,-117.5892,,,,,,,,,,,,,,,,,,
Elon,-9.49,36.10805,-79.51084,,,,,,,,,,,,,,,,,,
Evansville,-2.33,37.9721889,-87.5678444,,,,,,,,,,,,,,,,,,
Fairfield,-7.31,41.1601694,-73.2580667,,,,,,,,,,,,,,,,,,
Fairleigh Dickinson,-14.73,40.8967,-74.0324,,,,,,,,,,,,,,,,,,
FIU,-6.27,25.75667,-80.37944,,,,,,,,,,,,,,,,,,
Florida,32.01,29.64944,-82.35111,,,,,,,,,,,,,,,,,,
Florida A&M,-18.76,30.424318,-84.290473,,,,,,,,,,,,,,,,,,
Florida Atlantic,-1.96,26.37222,-80.10917,,,,,,,,,,,,,,,,,,
Florida Gulf Coast,-6.87,26.47111,-81.76472,,,,,,,,,,,,,,,,,,
Florida St.,18.97,30.437842,-84.28669,,,,,,,,,,,,,,,,,,
Fordham,-4.07,40.862148,-73.883824,,,,,,,,,,,,,,,,,,
Fresno St.,4.11,36.809722,-119.738611,,,,,,,,,,,,,,,,,,
Furman,-2.72,34.92583,-82.43556,,,,,,,,,,,,,,,,,,
Gardner Webb,-7.43,35.246538,-81.669518,,,,,,,,,,,,,,,,,,
George Mason,3.15,38.827,-77.31,,,,,,,,,,,,,,,,,,
George Washington,2.32,38.897755,-77.049329,,,,,,,,,,,,,,,,,,
Georgetown,18.88,38.89806,-77.02083,,,,,,,,,,,,,,,,,,
Georgia,14.89,33.9428,-83.378,,,,,,,,,,,,,,,,,,
Georgia Southern,-6.22,32.42778,-81.77944,,,,,,,,,,,,,,,,,,
Georgia St.,-2.4,33.7425,-84.38944,,,,,,,,,,,,,,,,,,
Georgia Tech,14.38,33.78083,-84.39278,,,,,,,,,,,,,,,,,,
Gonzaga,26.52,47.665,-117.399,,,,,,,,,,,,,,,,,,
